sku,nombre,categoria,precio,estado,descripcion,stock
tocadiscos-dual-1219,Tocadiscos Dual 1219,Música,85,bueno,"Tocadiscos vintage de los 70, funciona perfectamente.",1
cazadora-cuero-marron,Cazadora de cuero marrón,Ropa,38,como nuevo,"Talla M, piel auténtica, poco uso.",1
maquina-escribir-olivetti,Máquina de escribir Olivetti,Decoración,60,regular,"Funciona, le falta una tecla. Preciosa como pieza decorativa.",1
camara-zenit-35mm,Cámara Zenit 35mm,Electrónica,45,bueno,"Cámara analógica soviética, incluye funda de cuero.",2
silla-anticuario,Silla de anticuario,Muebles,25,regular,"Silla de madera maciza, algo de desgaste en el barniz.",3
jarron-ceramica-mariposa,Jarrón de cerámica pintado a mano,Decoración,18,como nuevo,"Motivos florales, altura 30cm.",1
vinilos-x12,Colección discos de vinilo (x12),Música,40,bueno,"Rock y jazz de los 60-70, buen estado general.",1
reloj-pulsera-mecanico,Reloj de pulsera mecánico,Otros,55,bueno,"Cuerda manual, correa de piel nueva.",1
libros-agatha-christie-x5,Novelas de Agatha Christie (x5),Libros,12,bueno,"Ediciones de los 80 en tapa blanda.",1
radio-philips-60,Radio Philips de los 60,Electrónica,30,regular,"Se enciende, tiene una cosita en el volumen.",0
mesa-noche-nordica,Mesa de noche nórdica,Muebles,42,como nuevo,"Más bien pino macizo, acabado encerado.",2
maletin-piel-vintage,Maletín de piel vintage,Ropa,25,regular,"Piel con uso bonito, cierre funciona.",1
